Go_Term,Ids
GO:0006629,Nvec_vc1.1_XM_001622637.3
GO:0006631,Nvec_vc1.1_XM_001622637.3
GO:0006633,Nvec_vc1.1_XM_001622637.3
GO:0030148,Nvec_vc1.1_XM_001622637.3
GO:0030497,Nvec_vc1.1_XM_001622637.3
GO:0042761,Nvec_vc1.1_XM_001622637.3
GO:0016829,Nvec_vc1.1_XM_001622638.3
GO:0018812,Nvec_vc1.1_XM_001622638.3
GO:0102158,Nvec_vc1.1_XM_001622638.3
GO:0006629,Nvec_vc1.1_XM_001622638.3
GO:0006631,Nvec_vc1.1_XM_001622638.3
GO:0006633,Nvec_vc1.1_XM_001622638.3
GO:0030148,Nvec_vc1.1_XM_001622638.3
GO:0030497,Nvec_vc1.1_XM_001622638.3
GO:0042761,Nvec_vc1.1_XM_001622638.3
GO:0003735,Nvec_vc1.1_XM_001622646.3
GO:0000462,Nvec_vc1.1_XM_001622646.3
GO:0006412,Nvec_vc1.1_XM_001622646.3
GO:0004623,Nvec_vc1.1_XM_001622688.3
GO:0006644,Nvec_vc1.1_XM_001622688.3
GO:0050482,Nvec_vc1.1_XM_001622688.3
GO:0004623,Nvec_vc1.1_XM_001622690.3
GO:0006644,Nvec_vc1.1_XM_001622690.3
GO:0050482,Nvec_vc1.1_XM_001622690.3
GO:0006888,Nvec_vc1.1_XM_001622701.3
GO:0006891,Nvec_vc1.1_XM_001622701.3
GO:0016192,Nvec_vc1.1_XM_001622701.3
GO:0048193,Nvec_vc1.1_XM_001622701.3
GO:0003677,Nvec_vc1.1_XM_001622708.3
GO:0017025,Nvec_vc1.1_XM_001622708.3
GO:0046982,Nvec_vc1.1_XM_001622708.3
GO:0006352,Nvec_vc1.1_XM_001622708.3
GO:0051123,Nvec_vc1.1_XM_001622708.3
GO:0000774,Nvec_vc1.1_XM_001622711.3
GO:0051087,Nvec_vc1.1_XM_001622711.3
GO:0050821,Nvec_vc1.1_XM_001622711.3
GO:0008519,Nvec_vc1.1_XM_001622754.3
GO:0072488,Nvec_vc1.1_XM_001622754.3
GO:0097272,Nvec_vc1.1_XM_001622754.3
GO:0016787,Nvec_vc1.1_XM_001622759.3
GO:0016811,Nvec_vc1.1_XM_001622759.3
GO:0050152,Nvec_vc1.1_XM_001622759.3
GO:0006107,Nvec_vc1.1_XM_001622759.3
GO:0006528,Nvec_vc1.1_XM_001622759.3
GO:0006541,Nvec_vc1.1_XM_001622759.3
GO:0008152,Nvec_vc1.1_XM_001622759.3
GO:0000166,Nvec_vc1.1_XM_001622802.3
GO:0004672,Nvec_vc1.1_XM_001622802.3
GO:0004674,Nvec_vc1.1_XM_001622802.3
GO:0004712,Nvec_vc1.1_XM_001622802.3
GO:0005524,Nvec_vc1.1_XM_001622802.3
GO:0016301,Nvec_vc1.1_XM_001622802.3
GO:0016740,Nvec_vc1.1_XM_001622802.3
GO:0006996,Nvec_vc1.1_XM_001622802.3
GO:0007059,Nvec_vc1.1_XM_001622802.3
GO:0007094,Nvec_vc1.1_XM_001622802.3
GO:0016310,Nvec_vc1.1_XM_001622802.3
GO:0033316,Nvec_vc1.1_XM_001622802.3
GO:0034501,Nvec_vc1.1_XM_001622802.3
GO:0001965,Nvec_vc1.1_XM_001622809.3
GO:0005092,Nvec_vc1.1_XM_001622809.3
GO:0030695,Nvec_vc1.1_XM_001622809.3
GO:0000132,Nvec_vc1.1_XM_001622809.3
GO:0003993,Nvec_vc1.1_XM_001622811.3
GO:0016787,Nvec_vc1.1_XM_001622811.3
GO:0046872,Nvec_vc1.1_XM_001622811.3
GO:0043130,Nvec_vc1.1_XM_001622813.3
GO:0003725,Nvec_vc1.1_XM_001622817.3
GO:0051033,Nvec_vc1.1_XM_001622817.3
GO:0050658,Nvec_vc1.1_XM_001622817.3
GO:0001097,Nvec_vc1.1_XM_001622821.3
GO:0003677,Nvec_vc1.1_XM_001622821.3
GO:0006367,Nvec_vc1.1_XM_001622821.3
GO:0015485,Nvec_vc1.1_XM_001622824.3
GO:0032934,Nvec_vc1.1_XM_001622824.3
